Date,Timestamp,Filename,TopLeftX,TopLeftY,BottomRightX,BottomRightY,Confidence
2017-05-17,2000-01-01 07:56:53.878,2017-05-17 07-56-53.878.jpg,7,112,150,719,0.6920652985572815
2017-05-17,2000-01-01 07:56:54.311,2017-05-17 07-56-54.311.jpg,9,112,152,719,0.6951116323471069
2017-05-17,2000-01-01 07:56:54.733,2017-05-17 07-56-54.733.jpg,8,107,152,719,0.6924973130226135
2017-05-17,2000-01-01 07:56:55.355,2017-05-17 07-56-55.355.jpg,8,108,152,719,0.6780825257301331
2017-05-17,2000-01-01 07:56:55.788,2017-05-17 07-56-55.788.jpg,10,113,152,719,0.6863768696784973
2017-05-17,2000-01-01 07:56:56.224,2017-05-17 07-56-56.224.jpg,8,111,149,719,0.6682822704315186
2017-05-17,2000-01-01 07:56:56.640,2017-05-17 07-56-56.640.jpg,7,111,150,719,0.6853117346763611
2017-05-17,2000-01-01 07:56:57.072,2017-05-17 07-56-57.072.jpg,7,113,151,719,0.7036221623420715
2017-05-17,2000-01-01 07:56:57.495,2017-05-17 07-56-57.495.jpg,8,108,151,719,0.7049827575683594
2017-05-17,2000-01-01 07:56:57.911,2017-05-17 07-56-57.911.jpg,6,116,152,719,0.6777673959732056
2017-05-17,2000-01-01 07:56:58.340,2017-05-17 07-56-58.340.jpg,6,113,153,719,0.6722386479377747
2017-05-17,2000-01-01 07:56:58.763,2017-05-17 07-56-58.763.jpg,5,112,152,719,0.6611195206642151
2017-05-17,2000-01-01 07:56:59.174,2017-05-17 07-56-59.174.jpg,5,108,153,719,0.6789577007293701
2017-05-17,2000-01-01 07:56:59.594,2017-05-17 07-56-59.594.jpg,7,111,152,719,0.6707243919372559
2017-05-17,2000-01-01 07:57:00.041,2017-05-17 07-57-00.041.jpg,9,108,152,719,0.6851738691329956
2017-05-17,2000-01-01 07:57:00.654,2017-05-17 07-57-00.654.jpg,9,113,152,719,0.6842899322509766
2017-05-17,2000-01-01 07:57:01.093,2017-05-17 07-57-01.093.jpg,8,114,154,719,0.6709907650947571
2017-05-17,2000-01-01 07:57:01.508,2017-05-17 07-57-01.508.jpg,9,111,154,719,0.6662743091583252
2017-05-17,2000-01-01 07:57:01.921,2017-05-17 07-57-01.921.jpg,9,107,150,719,0.6832960247993469
2017-05-17,2000-01-01 07:57:02.407,2017-05-17 07-57-02.407.jpg,8,107,149,719,0.6978596448898315
2017-05-17,2000-01-01 07:57:02.830,2017-05-17 07-57-02.830.jpg,7,110,149,719,0.7035844922065735
2017-05-17,2000-01-01 07:57:03.304,2017-05-17 07-57-03.304.jpg,8,117,153,719,0.6642986536026001
2017-05-17,2000-01-01 07:57:03.758,2017-05-17 07-57-03.758.jpg,9,107,151,719,0.6915931701660156
2017-05-17,2000-01-01 07:57:04.175,2017-05-17 07-57-04.175.jpg,8,107,150,719,0.6892293095588684
2017-05-17,2000-01-01 07:57:04.609,2017-05-17 07-57-04.609.jpg,8,106,151,719,0.6907650232315063
2017-05-17,2000-01-01 07:57:05.045,2017-05-17 07-57-05.045.jpg,7,113,152,719,0.6703829169273376
2017-05-17,2000-01-01 07:57:05.665,2017-05-17 07-57-05.665.jpg,8,112,152,719,0.6742321848869324
2017-05-17,2000-01-01 07:57:06.102,2017-05-17 07-57-06.102.jpg,7,105,151,719,0.677201509475708
2017-05-17,2000-01-01 07:57:06.527,2017-05-17 07-57-06.527.jpg,7,104,151,719,0.6944839954376221
2017-05-17,2000-01-01 07:57:06.937,2017-05-17 07-57-06.937.jpg,7,106,151,719,0.6978861093521118
2017-05-17,2000-01-01 07:57:07.364,2017-05-17 07-57-07.364.jpg,9,107,153,719,0.69838947057724
2017-05-17,2000-01-01 07:57:07.775,2017-05-17 07-57-07.775.jpg,9,112,152,719,0.6883588433265686
2017-05-17,2000-01-01 07:57:08.197,2017-05-17 07-57-08.197.jpg,6,115,153,719,0.668414831161499
2017-05-17,2000-01-01 07:57:08.663,2017-05-17 07-57-08.663.jpg,8,109,151,719,0.6825115084648132
2017-05-17,2000-01-01 07:57:09.107,2017-05-17 07-57-09.107.jpg,7,106,153,719,0.6730451583862305
2017-05-17,2000-01-01 07:57:09.528,2017-05-17 07-57-09.528.jpg,9,103,152,719,0.704277515411377
2017-05-17,2000-01-01 07:57:09.957,2017-05-17 07-57-09.957.jpg,0,185,240,719,0.5796042680740356
2017-05-17,2000-01-01 07:57:10.556,2017-05-17 07-57-10.556.jpg,10,93,150,719,0.6499654650688171
2017-05-17,2000-01-01 07:57:10.990,2017-05-17 07-57-10.990.jpg,11,100,155,719,0.7191337943077087
2017-05-17,2000-01-01 07:57:11.403,2017-05-17 07-57-11.403.jpg,13,113,155,719,0.6743921041488647
2017-05-17,2000-01-01 07:57:11.811,2017-05-17 07-57-11.811.jpg,13,113,156,719,0.6723605990409851
2017-05-17,2000-01-01 07:57:12.233,2017-05-17 07-57-12.233.jpg,13,114,157,717,0.6774092316627502
2017-05-17,2000-01-01 07:57:12.649,2017-05-17 07-57-12.649.jpg,12,111,154,719,0.6874226927757263
2017-05-17,2000-01-01 07:57:13.059,2017-05-17 07-57-13.059.jpg,12,110,153,719,0.6736432909965515
2017-05-17,2000-01-01 07:57:13.479,2017-05-17 07-57-13.479.jpg,14,110,155,719,0.680735170841217
2017-05-17,2000-01-01 07:57:13.902,2017-05-17 07-57-13.902.jpg,11,112,153,719,0.6700844764709473
2017-05-17,2000-01-01 07:57:14.332,2017-05-17 07-57-14.332.jpg,13,111,152,719,0.6766144037246704
2017-05-17,2000-01-01 07:57:14.755,2017-05-17 07-57-14.755.jpg,11,106,152,719,0.7051041126251221
2017-05-17,2000-01-01 07:57:15.358,2017-05-17 07-57-15.358.jpg,13,103,152,719,0.708064079284668
2017-05-17,2000-01-01 07:57:15.801,2017-05-17 07-57-15.801.jpg,11,106,154,719,0.7021497488021851
2017-05-17,2000-01-01 07:57:16.228,2017-05-17 07-57-16.228.jpg,11,105,151,719,0.6928620934486389
2017-05-17,2000-01-01 07:57:16.634,2017-05-17 07-57-16.634.jpg,12,103,150,719,0.7087898850440979
2017-05-17,2000-01-01 07:57:17.089,2017-05-17 07-57-17.089.jpg,11,102,153,719,0.708057165145874
2017-05-17,2000-01-01 07:57:17.588,2017-05-17 07-57-17.588.jpg,12,99,153,719,0.725031852722168
2017-05-17,2000-01-01 07:57:18.031,2017-05-17 07-57-18.031.jpg,13,104,150,719,0.7116036415100098
2017-05-17,2000-01-01 07:57:18.490,2017-05-17 07-57-18.490.jpg,14,108,152,719,0.6953026056289673
2017-05-17,2000-01-01 07:57:18.916,2017-05-17 07-57-18.916.jpg,6,102,170,719,0.6667205095291138
2017-05-17,2000-01-01 07:57:19.770,2017-05-17 07-57-19.770.jpg,0,86,931,719,0.5666889548301697
2017-05-17,2000-01-01 07:57:20.357,2017-05-17 07-57-20.357.jpg,43,118,698,719,0.7202551364898682
2017-05-17,2000-01-01 07:57:20.784,2017-05-17 07-57-20.784.jpg,33,42,643,678,0.7212119102478027
2017-05-17,2000-01-01 07:57:21.195,2017-05-17 07-57-21.195.jpg,4,0,429,719,0.5466054081916809
2017-05-17,2000-01-01 07:57:23.724,2017-05-17 07-57-23.724.jpg,15,115,165,700,0.6279443502426147
2017-05-17,2000-01-01 07:57:24.160,2017-05-17 07-57-24.160.jpg,14,112,167,714,0.6862989068031311
2017-05-17,2000-01-01 07:57:24.582,2017-05-17 07-57-24.582.jpg,12,114,167,705,0.6847678422927856
2017-05-17,2000-01-01 07:57:25.012,2017-05-17 07-57-25.012.jpg,10,110,168,710,0.6643148064613342
2017-05-17,2000-01-01 07:57:25.608,2017-05-17 07-57-25.608.jpg,10,113,169,706,0.6950381398200989
2017-05-17,2000-01-01 07:57:26.044,2017-05-17 07-57-26.044.jpg,11,112,167,709,0.681189775466919
2017-05-17,2000-01-01 07:57:26.465,2017-05-17 07-57-26.465.jpg,13,112,166,710,0.6647753715515137
2017-05-17,2000-01-01 07:57:26.885,2017-05-17 07-57-26.885.jpg,10,108,165,719,0.6777752041816711
2017-05-17,2000-01-01 07:57:27.311,2017-05-17 07-57-27.311.jpg,9,118,160,719,0.6895722150802612
2017-05-17,2000-01-01 07:57:27.725,2017-05-17 07-57-27.725.jpg,8,115,160,719,0.7049394845962524
2017-05-17,2000-01-01 07:57:28.141,2017-05-17 07-57-28.141.jpg,6,105,160,719,0.686486542224884
2017-05-17,2000-01-01 07:57:28.558,2017-05-17 07-57-28.558.jpg,7,109,160,719,0.6974861025810242
2017-05-17,2000-01-01 07:57:28.990,2017-05-17 07-57-28.990.jpg,7,112,161,719,0.6979224681854248
2017-05-17,2000-01-01 07:57:29.441,2017-05-17 07-57-29.441.jpg,7,104,159,719,0.7058071494102478
2017-05-17,2000-01-01 07:57:29.857,2017-05-17 07-57-29.857.jpg,8,101,159,719,0.7089840769767761
2017-05-17,2000-01-01 07:57:30.460,2017-05-17 07-57-30.460.jpg,6,106,158,719,0.7066353559494019
2017-05-17,2000-01-01 07:57:30.896,2017-05-17 07-57-30.896.jpg,5,106,162,719,0.7128725051879883
2017-05-17,2000-01-01 07:57:31.318,2017-05-17 07-57-31.318.jpg,9,109,159,719,0.6970901489257812
2017-05-17,2000-01-01 07:57:31.727,2017-05-17 07-57-31.727.jpg,8,120,158,719,0.6819965839385986
2017-05-17,2000-01-01 07:57:32.167,2017-05-17 07-57-32.167.jpg,8,103,156,719,0.6847308278083801
2017-05-17,2000-01-01 07:57:32.607,2017-05-17 07-57-32.607.jpg,8,106,154,719,0.6598553657531738
2017-05-17,2000-01-01 07:57:33.034,2017-05-17 07-57-33.034.jpg,8,103,152,719,0.6842620968818665
2017-05-17,2000-01-01 07:57:33.502,2017-05-17 07-57-33.502.jpg,6,102,152,719,0.6880046725273132
2017-05-17,2000-01-01 07:57:33.916,2017-05-17 07-57-33.916.jpg,7,99,151,719,0.7011151909828186
2017-05-17,2000-01-01 07:57:34.372,2017-05-17 07-57-34.372.jpg,7,100,154,719,0.6930280923843384
2017-05-17,2000-01-01 07:57:34.795,2017-05-17 07-57-34.795.jpg,8,108,152,719,0.663687527179718
2017-05-17,2000-01-01 07:57:35.405,2017-05-17 07-57-35.405.jpg,9,106,155,719,0.6878239512443542
2017-05-17,2000-01-01 07:57:35.838,2017-05-17 07-57-35.838.jpg,9,107,154,719,0.6729615330696106
2017-05-17,2000-01-01 07:57:36.274,2017-05-17 07-57-36.274.jpg,9,104,152,719,0.6859323978424072
2017-05-17,2000-01-01 07:57:36.687,2017-05-17 07-57-36.687.jpg,8,113,154,719,0.6818941831588745
2017-05-17,2000-01-01 07:57:37.126,2017-05-17 07-57-37.126.jpg,7,113,153,719,0.6936500072479248
2017-05-17,2000-01-01 07:57:37.547,2017-05-17 07-57-37.547.jpg,8,108,152,719,0.6883838772773743
2017-05-17,2000-01-01 07:57:37.967,2017-05-17 07-57-37.967.jpg,9,105,152,719,0.6996382474899292
2017-05-17,2000-01-01 07:57:38.383,2017-05-17 07-57-38.383.jpg,8,105,152,719,0.6848235726356506
2017-05-17,2000-01-01 07:57:38.848,2017-05-17 07-57-38.848.jpg,8,101,153,719,0.6937188506126404
2017-05-17,2000-01-01 07:57:39.285,2017-05-17 07-57-39.285.jpg,7,105,153,719,0.6858764290809631
2017-05-17,2000-01-01 07:57:39.710,2017-05-17 07-57-39.710.jpg,8,107,153,719,0.6878560185432434
2017-05-17,2000-01-01 07:57:40.319,2017-05-17 07-57-40.319.jpg,7,110,153,719,0.680898904800415
