Date,Timestamp,Filename,TopLeftX,TopLeftY,BottomRightX,BottomRightY,Confidence
2017-05-16,2000-01-01 20:46:08.589,2017-05-16 20-46-08.589.jpg,66,23,144,254,0.8031955361366272
2017-05-16,2000-01-01 20:46:08.589,2017-05-16 20-46-08.589.jpg,362,114,424,206,0.6668092012405396
2017-05-16,2000-01-01 20:46:09.064,2017-05-16 20-46-09.064.jpg,69,28,143,245,0.7490127086639404
2017-05-16,2000-01-01 20:46:09.064,2017-05-16 20-46-09.064.jpg,348,116,414,203,0.6220189929008484
2017-05-16,2000-01-01 20:46:09.473,2017-05-16 20-46-09.473.jpg,78,29,156,234,0.7950506806373596
2017-05-16,2000-01-01 20:46:09.473,2017-05-16 20-46-09.473.jpg,338,108,403,212,0.7507015466690063
2017-05-16,2000-01-01 20:46:09.851,2017-05-16 20-46-09.851.jpg,105,28,172,232,0.7690021395683289
2017-05-16,2000-01-01 20:46:09.851,2017-05-16 20-46-09.851.jpg,340,108,402,212,0.7820955514907837
2017-05-16,2000-01-01 20:46:10.240,2017-05-16 20-46-10.240.jpg,114,33,193,224,0.6925982236862183
2017-05-16,2000-01-01 20:46:10.240,2017-05-16 20-46-10.240.jpg,341,109,404,211,0.756902813911438
2017-05-16,2000-01-01 20:46:10.617,2017-05-16 20-46-10.617.jpg,127,34,191,222,0.7870131731033325
2017-05-16,2000-01-01 20:46:10.617,2017-05-16 20-46-10.617.jpg,335,105,409,213,0.7258027791976929
2017-05-16,2000-01-01 20:46:11.052,2017-05-16 20-46-11.052.jpg,141,36,193,207,0.7555838823318481
2017-05-16,2000-01-01 20:46:11.052,2017-05-16 20-46-11.052.jpg,314,111,399,208,0.6368556618690491
2017-05-16,2000-01-01 20:46:11.418,2017-05-16 20-46-11.418.jpg,146,34,211,224,0.7192225456237793
2017-05-16,2000-01-01 20:46:11.418,2017-05-16 20-46-11.418.jpg,308,107,381,212,0.6799749135971069
2017-05-16,2000-01-01 20:46:11.788,2017-05-16 20-46-11.788.jpg,156,38,224,196,0.6807515621185303
2017-05-16,2000-01-01 20:46:11.788,2017-05-16 20-46-11.788.jpg,309,110,372,211,0.7415042519569397
2017-05-16,2000-01-01 20:46:12.146,2017-05-16 20-46-12.146.jpg,156,47,230,148,0.7677732110023499
2017-05-16,2000-01-01 20:46:12.146,2017-05-16 20-46-12.146.jpg,287,105,347,214,0.5608317255973816
2017-05-16,2000-01-01 20:46:12.522,2017-05-16 20-46-12.522.jpg,173,55,251,141,0.7371612191200256
2017-05-16,2000-01-01 20:46:12.905,2017-05-16 20-46-12.905.jpg,190,48,261,144,0.6212479472160339
2017-05-16,2000-01-01 20:46:13.258,2017-05-16 20-46-13.258.jpg,192,36,274,240,0.5923964977264404
2017-05-16,2000-01-01 20:46:13.640,2017-05-16 20-46-13.640.jpg,206,47,265,134,0.7190873026847839
2017-05-16,2000-01-01 20:46:13.640,2017-05-16 20-46-13.640.jpg,166,107,217,256,0.7212215662002563
2017-05-16,2000-01-01 20:46:14.014,2017-05-16 20-46-14.014.jpg,212,50,263,135,0.6558068990707397
2017-05-16,2000-01-01 20:46:14.014,2017-05-16 20-46-14.014.jpg,145,116,201,243,0.6893271803855896
2017-05-16,2000-01-01 20:46:14.468,2017-05-16 20-46-14.468.jpg,124,115,188,240,0.6780539155006409
2017-05-16,2000-01-01 20:46:14.468,2017-05-16 20-46-14.468.jpg,208,49,257,141,0.5261145830154419
2017-05-16,2000-01-01 20:46:14.845,2017-05-16 20-46-14.845.jpg,192,51,238,172,0.5557584762573242
2017-05-16,2000-01-01 20:46:14.845,2017-05-16 20-46-14.845.jpg,121,117,162,236,0.675631046295166
2017-05-16,2000-01-01 20:46:15.218,2017-05-16 20-46-15.218.jpg,187,49,228,173,0.6251850128173828
2017-05-16,2000-01-01 20:46:15.218,2017-05-16 20-46-15.218.jpg,130,115,178,229,0.5733779668807983
2017-05-16,2000-01-01 20:46:15.581,2017-05-16 20-46-15.581.jpg,183,51,226,171,0.6115931272506714
2017-05-16,2000-01-01 20:46:15.581,2017-05-16 20-46-15.581.jpg,132,104,172,219,0.5343642830848694
2017-05-16,2000-01-01 20:46:16.042,2017-05-16 20-46-16.042.jpg,170,50,222,146,0.578177273273468
2017-05-16,2000-01-01 20:46:16.042,2017-05-16 20-46-16.042.jpg,139,105,173,215,0.6169551014900208
