Date,Timestamp,Filename,TopLeftX,TopLeftY,BottomRightX,BottomRightY,Confidence
2017-05-16,2000-01-01 09:59:38.%2f,2017-05-16 09-59-38.%2f.jpg,16,20,174,285,0.6349936723709106
2017-05-16,2000-01-01 09:59:39.%2f,2017-05-16 09-59-39.%2f.jpg,59,0,214,288,0.71015465259552
2017-05-16,2000-01-01 09:59:39.%2f,2017-05-16 09-59-39.%2f.jpg,195,11,309,290,0.7487508654594421
2017-05-16,2000-01-01 09:59:40.%2f,2017-05-16 09-59-40.%2f.jpg,199,30,327,272,0.6923537850379944
2017-05-16,2000-01-01 09:59:40.%2f,2017-05-16 09-59-40.%2f.jpg,235,14,327,290,0.8184055685997009
2017-05-16,2000-01-01 09:59:40.%2f,2017-05-16 09-59-40.%2f.jpg,269,41,338,252,0.7176672220230103
2017-05-16,2000-01-01 09:59:41.%2f,2017-05-16 09-59-41.%2f.jpg,269,48,334,247,0.6987740993499756
2017-05-16,2000-01-01 09:59:41.%2f,2017-05-16 09-59-41.%2f.jpg,247,64,316,234,0.6158226132392883
2017-05-16,2000-01-01 09:59:41.%2f,2017-05-16 09-59-41.%2f.jpg,254,61,315,230,0.6431446671485901
2017-05-16,2000-01-01 09:59:42.%2f,2017-05-16 09-59-42.%2f.jpg,229,52,322,236,0.7729930877685547
2017-05-16,2000-01-01 09:59:42.%2f,2017-05-16 09-59-42.%2f.jpg,236,51,307,236,0.7150620222091675
2017-05-16,2000-01-01 09:59:43.%2f,2017-05-16 09-59-43.%2f.jpg,237,48,304,238,0.7392483353614807
2017-05-16,2000-01-01 09:59:43.%2f,2017-05-16 09-59-43.%2f.jpg,233,54,298,237,0.7781479954719543
2017-05-16,2000-01-01 09:59:43.%2f,2017-05-16 09-59-43.%2f.jpg,233,53,297,237,0.780246913433075
2017-05-16,2000-01-01 09:59:44.%2f,2017-05-16 09-59-44.%2f.jpg,236,48,301,239,0.7802847623825073
2017-05-16,2000-01-01 09:59:44.%2f,2017-05-16 09-59-44.%2f.jpg,235,50,301,238,0.789459764957428
2017-05-16,2000-01-01 09:59:44.%2f,2017-05-16 09-59-44.%2f.jpg,232,52,299,242,0.8071956038475037
2017-05-16,2000-01-01 09:59:45.%2f,2017-05-16 09-59-45.%2f.jpg,244,54,302,245,0.7782573103904724
2017-05-16,2000-01-01 09:59:45.%2f,2017-05-16 09-59-45.%2f.jpg,247,39,311,261,0.7799947261810303
2017-05-16,2000-01-01 09:59:46.%2f,2017-05-16 09-59-46.%2f.jpg,242,39,304,262,0.8097774386405945
2017-05-16,2000-01-01 09:59:46.%2f,2017-05-16 09-59-46.%2f.jpg,233,31,309,268,0.7879374027252197
2017-05-16,2000-01-01 09:59:46.%2f,2017-05-16 09-59-46.%2f.jpg,194,2,289,299,0.7787346839904785
2017-05-16,2000-01-01 09:59:47.%2f,2017-05-16 09-59-47.%2f.jpg,166,16,259,285,0.6307870745658875
2017-05-16,2000-01-01 09:59:47.%2f,2017-05-16 09-59-47.%2f.jpg,148,21,241,278,0.719774067401886
2017-05-16,2000-01-01 09:59:47.%2f,2017-05-16 09-59-47.%2f.jpg,2,0,123,299,0.6495938301086426
